id,name
502,Bye Bye Birdie
503,C'est La Vie
504,Cable Car
505,Cactus Flower
506,Caesarea Cocktail
507,Cabb
508,Cactus & Thistle
509,Caesar
510,Cafe Colada
511,Caipirinha
512,Calabura Flip
513,Calico Jack (The Independent)
514,Call of the Wild
515,Café Negroni
516,Caipirinha Pasión
517,Calico Jack
518,California English
519,Cambridge Tea
520,Cameron's Kick
521,Camomila
522,Campari Flamingo
523,Campari Swizzle
524,Campfire Sling
525,El Camino (Trina Sturm)
526,Campaign Trail
527,Campari in Paradise
528,Campbeltown
529,Campfire Sour
530,Can't Get There From Here
531,Canebrake
532,Canon Cocktail
533,Cantinflas Mustache
534,El Capitan
535,Cancún Sazerac
536,Cannibal Cooler
537,Cansiglio Bianco Negroni
538,Canton Daisy
539,Capitán
540,Capone's Island
541,Captain Anne Bonnie
542,Caramel By The Sea
543,Cardboard Plane
544,Caribbean Coffee Crush
545,capovolto
546,Captain's Blood
547,Caraway Daiquiri
548,Cargo Cult
549,Caribbean Gulf
550,Caribbean Punch
551,Caribé Sour
552,Carolina Julep
553,Carpano Sour
554,Casino Green
555,Caribbean Royale
556,Carlota's Collapse
557,Carolynn Reminder
558,Carthusian Summer
559,Cask of Amontillado
560,Cassingle Revival #2
561,Castle of Córdoba
562,Caught in a Cabaret
563,Caustic Negroni
564,CCR
565,Cassis Party #2
566,Category 1
567,The Cause
568,Caveat Emptor
569,Ce Soir
570,Cedar Fever
571,Cells Interlinked
572,Central Ave. Chorrizo
573,Chachita
574,Chai Tea-Ni
575,Celery Tonic
576,Celtic Solstice
577,Chac Mool
578,The Chadwick
579,Chai-Town Brown
580,Challenge Excepted
581,Champagne Year
582,Chan Chan
583,Chaos Monkey
584,El Chapulín
585,Champagne Julep
586,Champs Elysées
587,Change of Key
588,Chaplin
589,Charlatan's Swizzle
590,Charles Dickens Lemon Milk Punch
591,Charlie Bowman
592,Chartreuse Daiquiri
593,Chasing Fireflies
594,Chatham Artillery Punch (Single Serve)
595,Charleston Collage (Boston Apothecary)
596,Chartreuse Colada
597,Chartreuse Swizzle
598,Chasing Smoke
599,Chatham Cocktail
600,Chauncey Depew
601,Cheeky Sazerac
602,Chemlabier
603,Cherry Christmas
604,Cherry Darling
605,Chee Hoo Fizz
606,Chef's Kiss
607,Cherry Almond Gallette
608,Cherry Cobbler
609,Cherry Herring No. 2
610,Cherry Kola
611,Chet Baker
612,China Clipper
613,Chingon
614,Choke Let Malt
615,Cherry Russell
616,Chicago Zephyr
617,Chinato e smoky
618,Chocoloni
619,Choke Me Like You Love Me
620,Choke Me Softly
621,Chokehold
622,Christmas Bonus
623,Christmas Cheer
624,Christmas Evening
625,Choke and Smoke
626,The Chorus Boy
627,Christmas Caipirinhas
628,Christmas Eve
629,Christmas in a Glass
630,Christmas in Hell
631,Chupacabra
632,Churchgoer
633,Cin-Cyn
634,Cinnamon Girl
635,The Chunnel
636,Church Bay Cooler
637,Chutes and Ladders
638,CINCO DE MAYO
639,Circular Firing Squad
640,Circular Spritz
641,City Bird
642,Ciudad Oscura
643,Clair de Lune
644,The Claymore
645,Citrus Fever
646,Ciudad Cocktail
647,The Civil Litigation
648,Claret Lemonade
649,Clear Intentions
650,Clearlake
651,Clemen-thyme Sour
652,CliveAmarg
653,Clover Club
654,The Club Cocktail (from the University Club of St. Louis)
655,Clearly Aloe'n
656,Clive's SWOjamas
657,Clock Water and Smoke
658,Clown Car
659,Club Garden
660,The Coal Miner
661,Cocchi Cola
662,Cocktail de la Louisiane (Sam Ross)
663,Cocoa Puff Smash
664,Coconut Swizzle
665,Coasta de Morte
666,Cocktail à la Louisiane
667,Coco Fernet
668,Coconut Revolution
669,Coda di Leone
670,Coffee & Cigarettes
671,Coffee's For Closers
672,Coffee Warmer
673,Cointreau Teese
674,La Cola Nostra
675,Coffee Cobbler
676,Coffee and Tonic
677,Cointreau Palomita
678,Coked-Up Monk
679,Colchique
680,Cold Cold Night
681,Cold Was The Ground
682,The Colevardier
683,College and Grace
684,Collo Rosso
685,Cold Stare
686,Colette
687,Colleen Bawn
688,Collette's Panacea
689,Colonel Carpano
690,Colonel Grey
691,Color in Your Cheeks
692,Columbia Cocktail (Trader Vic's)
693,Common Cold
694,Company Buck
695,Colonial Affair
696,Colossal Youth
697,Comings and Goings
698,Companion
699,Coney Island Express
700,A Confederacy of Dunces
701,Confused Limey
702,Conjurers & Concubines
703,Conquistador
704,Constantinople
705,Confederation Bridge
706,Conifer Cocktail
707,Connery
708,Conquistador (Jennifer Contraveos)
709,Constructive Summer
710,Contention City
711,The CooCoo Nut
712,Cooper
713,Copper Pagoda
714,Cora Middleton
715,Continuum
716,Cool Leatherette
717,The Copper Kid
718,Coquito (Simple)
719,"Cordial Magnitude, officially."
720,Corn 'n Oil Sour
721,Corn and Oilier
722,Cornucopia (Claphamcocktails)
723,Coronation
724,Corpse Rejuvenation
725,Corn Flower
726,Cornet
727,Corny Panky
728,Corpse Carré
729,Corpse Reminder #1
730,Corpse ReVeeVer
731,Corpse Reviver #2
732,Corpse Reviver #5
733,The Corsican
734,The Count De Grace
735,Corpse Reviver #1
736,Corpse Reviver #4
737,Corpse Reviver variation #8
738,Cosmopolitan Milk Punch
739,Countrypolitan
740,Court and Degraw
741,Cowgirl's Downfall
742,Craft Squirrel Sex Manhattan
743,Cranberry Brandy Sour
744,Crangroni
745,COVO
746,Crack the Skye
747,The Crafty and Elusive Elk
748,Cranberry shrub cocktail
749,Crazy Cherry
750,The Creature That Drank Sheboygan
751,Creme de No Swizzle
752,Creole Cocktail
753,Creolita
754,Crimson Lake
755,Creep
756,Crenshaw
757,Creole Lady
758,Crimson King
759,The Crippler
760,Crop Top
761,Crown Jewel Negroni
762,Crystal Fall
763,Cuba Libre (Preparado)
764,Cubed Old Fashioned
765,Cross Town Traffic
766,The Crusher
767,Crystal Mocha
768,Cuban Anole
769,Cuckoo Bee
770,"Cucumber, Salt & Smoke"
771,Cucumber Collins
772,Cucumber Lime Swizzle
773,Cukes of July
774,Curari Cocktail
775,Cucumber Calypso
776,Cucumber Lavender Sour Punch
777,Cuevas
778,The Culebra Cocktail
779,Cure for Eric
780,Cure for Pain
781,Cusp of Summer
782,Cyanara
783,Cynar Sour
784,Czech Your Head
785,Curried Away
786,Cutlass
787,Cynar Flip
788,Czech Bohemian
789,D'Artagnan
790,D is For Dangerous
