id,name,recipe_url
53,Alberto,/cocktail/alberto
54,Alcatraz,/cocktail/alcatraz
55,Ajax,/cocktail/ajax
56,Aladdin,/cocktail/aladdin
57,Albert Park Swizzle,/cocktail/albert-park-swizzle
58,Albiconi,/cocktail/albiconi
59,Alchemist (Sam Fraser),/cocktail/alchemist-sam-fraser
60,Algarrobina,/cocktail/algarrobina
61,All American Autumn,/cocktail/all-american-autumn
62,All In,/cocktail/all
63,Allen & Wright,/cocktail/allen-wright
64,Allie Elizabeth Sleeping,/cocktail/allie-elizabeth-sleeping
65,Algiers Point,/cocktail/algiers-point
66,All of Freud's Beautiful Women,/cocktail/all-freuds-beautiful-women
67,All the King's Men,/cocktail/all-kings-men
68,Alley Negroni,/cocktail/alley-negroni
69,Alligator Swing,/cocktail/alligator-swing
70,Allspice Sour,/cocktail/allspice-sour
71,Alpine Bird,/cocktail/alpine-bird
72,Alpino,/cocktail/alpino
73,Always Bet On Black,/cocktail/always-bet-black
74,Amaretto Sour (Jeffrey Morgenthaler),/cocktail/amaretto-sour-jeffrey-morgenthaler
75,Aloe'n & Cynical,/cocktail/aloen-cynical
76,Alpine Jewel,/cocktail/alpine-jewel
77,Altazor,/cocktail/altazor
78,am-am sour (amaretto-amaro),/cocktail/am-am-sour-amaretto-amaro
79,Amargo Agrio,/cocktail/amargo-agrio
80,The Amargo Vallet Sour,/cocktail/amargo-vallet-sour
81,Amaro Andrea,/cocktail/amaro-andrea
82,Amaro Daiquiri (Billy Sunday),/cocktail/amaro-daiquiri-billy-sunday
83,Amaro Mood,/cocktail/amaro-mood
84,Amaroland,/cocktail/amaroland
85,Amari-o Bros.,/cocktail/amari-o-bros
86,Amaro Cocktail,/cocktail/amaro-cocktail
87,Amaro di Cocco,/cocktail/amaro-di-cocco
88,Amaro Paisano,/cocktail/amaro-paisano
89,AmaRONI,/cocktail/amaroni
90,Amaryllis,/cocktail/amaryllis
91,Amber Hive,/cocktail/amber-hive
92,Amburoni,/cocktail/amburoni
93,Amer mon Amour,/cocktail/amer-mon-amour
94,American Cocktail,/cocktail/american-cocktail
95,Amateur Pornstar Martini,/cocktail/amateur-pornstar-martini
96,Ambidextrous,/cocktail/ambidextrous
97,Amelia Earhart,/cocktail/amelia-earhart
98,Amer Picon 'Pouffle' Fizz,/cocktail/amer-picon-pouffle-fizz
99,American Gumption,/cocktail/american-gumption
100,American Trilogy,/cocktail/american-trilogy
101,Americano Perfecto,/cocktail/americano-perfecto
102,Among Dreams,/cocktail/among-dreams
103,Amoxicillin,/cocktail/amoxicillin
104,Anabasis,/cocktail/anabasis
105,Americano,/cocktail/americano
106,Amertinez,/cocktail/amertinez
107,Amora Amaro,/cocktail/amora-amaro
108,Amsterdam,/cocktail/amsterdam
109,Anastasia,/cocktail/anastasia
110,Anchor-Faced,/cocktail/anchor-faced
111,Anchorita,/cocktail/anchorita
112,Ancient Mariner,/cocktail/ancient-mariner
113,Angelica's Tears,/cocktail/angelicas-tears
114,Angostura Sour,/cocktail/angostura-sour
115,Anchor Scar,/cocktail/anchor-scar
116,Anchors Aweigh,/cocktail/anchors-aweigh
117,Andalusian Aperitif,/cocktail/andalusian-aperitif
118,Angostura Colada,/cocktail/angostura-colada
119,Ann Sheridan,/cocktail/ann-sheridan
120,Anne Bonny,/cocktail/anne-bonny
121,Another Country,/cocktail/another-country
122,The Antioxidant,/cocktail/antioxidant
123,Aperitivo #5,/cocktail/aperitivo-5
124,Aperitivo Julep,/cocktail/aperitivo-julep
125,Anne Bonny's Last Call,/cocktail/anne-bonnys-last-call
126,Antigua Black,/cocktail/antigua-black
127,Antoine's Demise,/cocktail/antoines-demise
128,Aperitivo #6,/cocktail/aperitivo-6
129,AperoClive,/cocktail/aperoclive
130,Aperol Flip,/cocktail/aperol-flip
131,Aphrodite and Eros,/cocktail/aphrodite-and-eros
132,Appellation Cooler,/cocktail/appellation-cooler
133,Apple Corps,/cocktail/apple-corps
134,Apple and Eve,/cocktail/apple-and-eve
135,Aperol Sour,/cocktail/aperol-sour
136,Apparent Sour,/cocktail/apparent-sour
137,Appetizer a l'italienne (Revised),/cocktail/appetizer-litalienne-revised
138,Apple Dandy,/cocktail/apple-dandy
139,Apple Jack,/cocktail/apple-jack
140,Apple of my Eye,/cocktail/apple-my-eye
141,Applejack Sour,/cocktail/applejack-sour
142,Apricot Fix,/cocktail/apricot-fix
143,April in Paris,/cocktail/april-paris
144,Aquavit Frappé,/cocktail/aquavit-frappe
145,Apple of My Islay,/cocktail/apple-my-islay
146,Après Ski Gimlet,/cocktail/apres-ski-gimlet
